record_id,email,password,source_label,observed_at
EX-001,financeiro@aurora.local,fluxo-2024,crm-backup,2025-11-04
EX-002,financeiro@aurora.local,Financeiro2023,legacy-browser-export,2024-08-19
EX-003,caio@nebula.local,vendas-2025,partner-portal-export,2025-12-02
EX-004,marina@nebula.local,nebula-2024,marketing-list-archive,2024-06-28
EX-005,legacy@vaulta.local,welcome123,legacy-migration-sample,2023-10-11
EX-006,compras@aurora.local,aurora123,spreadsheet-fragment,2025-09-13
EX-007,operacoes@nebula.local,operacao2025,partner-portal-export,2025-12-02
EX-008,contato@horizonte.local,horizonte01,old-support-ticket,2024-02-16
EX-009,rafael.nunes@aurora.local,rafael2024,legacy-browser-export,2024-08-19
EX-010,relatorios@vaulta.local,relatorio,spreadsheet-fragment,2025-09-13
